type_id,lat,lng,type,id,district
339,30.661863715131,104.084117119877,pk,261,锦江区
340,30.7094741875419,104.050037518926,pk,262,金牛区
341,30.7072706348756,104.068451292538,pk,263,金牛区
10091,30.654962,104.063481,tn,264,锦江区
10096,30.654965,104.06336,tn,265,锦江区
10131,30.65525,104.050035,tn,266,青羊区
10177,30.65563,104.047249,tn,267,青羊区
10199,30.656018,104.069601,tn,268,锦江区
10201,30.656018,104.069601,tn,269,锦江区
10220,30.656254,104.056124,tn,270,青羊区
10233,30.656363,104.058727,tn,271,青羊区
10238,30.656366,104.045474,tn,272,青羊区
10275,30.656731,104.0509,tn,273,青羊区
10279,30.656802,104.058426,tn,274,青羊区
10288,30.656876,104.058239,tn,275,青羊区
10304,30.65691,104.056162,tn,276,青羊区
10307,30.656939,104.068037,tn,277,锦江区
10309,30.656939,104.068037,tn,278,锦江区
10323,30.657003,104.06787,tn,279,锦江区
10340,30.657053,104.063678,tn,280,锦江区
10392,30.657603,104.102541,tn,281,成华区
10393,30.657603,104.102541,tn,282,成华区
10464,30.65804,104.085176,tn,283,锦江区
10489,30.658134,104.076091,tn,284,锦江区
10523,30.658535,104.073009,tn,285,锦江区
10560,30.65875,104.058402,tn,286,青羊区
10583,30.658868,104.099892,tn,287,成华区
10590,30.658876,104.058207,tn,288,青羊区
10599,30.658909,104.067031,tn,289,锦江区
10624,30.65906,104.078996,tn,290,锦江区
10630,30.65909,104.074174,tn,291,锦江区
10663,30.659187,104.078688,tn,292,锦江区
10730,30.659591,104.108873,tn,293,成华区
10759,30.65962,104.098227,tn,294,成华区
10798,30.659865,104.077196,tn,295,锦江区
10814,30.659937,104.088197,tn,296,锦江区
10898,30.660433,104.042148,tn,297,青羊区
10899,30.660433,104.042148,tn,298,青羊区
10929,30.660586,104.086809,tn,299,锦江区
10935,30.660593,104.059619,tn,300,青羊区
10961,30.660682,104.058144,tn,301,青羊区
10991,30.66078,104.041,tn,302,青羊区
10992,30.66078,104.041,tn,303,青羊区
11092,30.661317,104.124403,tn,304,成华区
11098,30.661337,104.078164,tn,305,锦江区
11106,30.661369,104.090924,tn,306,成华区
11131,30.661572,104.08475,tn,307,锦江区
11244,30.662163,104.076418,tn,308,锦江区
11245,30.662163,104.076418,tn,309,锦江区
11246,30.662163,104.076418,tn,310,锦江区
11283,30.662263,104.083307,tn,311,锦江区
11306,30.662393,104.060096,tn,312,青羊区
11353,30.662571,104.071097,tn,313,青羊区
11362,30.662591,104.088122,tn,314,锦江区
11366,30.662603,104.070506,tn,315,青羊区
11375,30.662636,104.068434,tn,316,青羊区
11386,30.662642,104.069776,tn,317,青羊区
11424,30.662812,104.053909,tn,318,青羊区
11431,30.662863,104.053783,tn,319,青羊区
11445,30.662956,104.076938,tn,320,锦江区
11447,30.662956,104.076938,tn,321,锦江区
11531,30.663547,104.0872,tn,322,锦江区
11570,30.663854,104.07509,tn,323,锦江区
11598,30.663949,104.06265,tn,324,青羊区
11648,30.664233,104.084522,tn,325,锦江区
11656,30.664244,104.099996,tn,326,成华区
11659,30.664249,104.099896,tn,327,成华区
11741,30.664797,104.078086,tn,328,锦江区
11752,30.664881,104.048076,tn,329,青羊区
11791,30.665083,104.04464,tn,330,青羊区
11873,30.665805,104.066297,tn,331,青羊区
11884,30.665822,104.081031,tn,332,锦江区
11893,30.66588,104.043296,tn,333,青羊区
12085,30.667234,104.081876,tn,334,锦江区
12111,30.667304,104.102726,tn,335,成华区
12118,30.667339,104.070636,tn,336,青羊区
12132,30.667392,104.081903,tn,337,青羊区
12134,30.667392,104.081903,tn,338,青羊区
12286,30.668139,104.105445,tn,339,成华区
12320,30.668303,104.098291,tn,340,成华区
12329,30.66835,104.071351,tn,341,青羊区
12374,30.668608,104.045168,tn,342,金牛区
12386,30.668714,104.049418,tn,343,青羊区
12467,30.669247,104.057821,tn,344,青羊区
12474,30.669247,104.057821,tn,345,青羊区
12485,30.669331,104.109471,tn,346,成华区
12491,30.669348,104.05979,tn,347,青羊区
12562,30.669583,104.066292,tn,348,青羊区
12621,30.669789,104.076791,tn,349,青羊区
12695,30.670424,104.097416,tn,350,成华区
12705,30.670439,104.079479,tn,351,青羊区
12721,30.670535,104.105732,tn,352,成华区
12737,30.670631,104.070649,tn,353,青羊区
12741,30.670673,104.113796,tn,354,成华区
12756,30.670829,104.049738,tn,355,青羊区
12786,30.671023,104.046169,tn,356,金牛区
12813,30.67121,104.077802,tn,357,青羊区
12833,30.671303,104.127458,tn,358,成华区
12838,30.671347,104.073414,tn,359,青羊区
12867,30.671526,104.101053,tn,360,成华区
12892,30.671766,104.093772,tn,361,成华区
12905,30.671817,104.080416,tn,362,青羊区
12961,30.672214,104.071588,tn,363,青羊区
13000,30.672484,104.104162,tn,364,成华区
13007,30.672538,104.059176,tn,365,青羊区
13042,30.672618,104.096712,tn,366,成华区
13070,30.672845,104.110856,tn,367,成华区
13102,30.673107,104.049254,tn,368,青羊区
13105,30.673107,104.049254,tn,369,青羊区
13179,30.673413,104.045776,tn,370,金牛区
13186,30.673567,104.07269,tn,371,青羊区
13197,30.673617,104.072572,tn,372,青羊区
13209,30.673682,104.084008,tn,373,青羊区
13244,30.673959,104.057869,tn,374,青羊区
13250,30.674014,104.06394,tn,375,青羊区
13298,30.674394,104.070912,tn,376,青羊区
13391,30.674759,104.062449,tn,377,青羊区
13415,30.674942,104.081622,tn,378,青羊区
13465,30.675069,104.045593,tn,379,金牛区
13466,30.675069,104.045593,tn,380,金牛区
13470,30.675109,104.069239,tn,381,青羊区
13476,30.675109,104.069239,tn,382,青羊区
13491,30.675227,104.055483,tn,383,青羊区
13523,30.675747,104.044416,tn,384,金牛区
13548,30.676014,104.082318,tn,385,金牛区
13593,30.676362,104.043267,tn,386,金牛区
13610,30.676455,104.102008,tn,387,成华区
13634,30.676549,104.101963,tn,388,成华区
13657,30.676654,104.102631,tn,389,成华区
13664,30.676669,104.082759,tn,390,金牛区
